last_situations
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 7.786351)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.741509999999998)}"
"{'p1': ('white', 'DONE', 1, 10), 'p2': ('black', 'DONE', 0, 9.980765000000002)}"
"{'p1': ('white', 'DONE', 1, 10), 'p2': ('black', 'DONE', 0, 8.944529000000001)}"
"{'p1': ('white', 'DONE', 0.5, 9.994793000000001), 'p2': ('black', 'DONE', 0.5, 3.383691)}"
"{'p1': ('white', 'DONE', 0, 9.974188999999997), 'p2': ('black', 'DONE', 1, 5.520257000000003)}"
"{'p1': ('white', 'DONE', 0, 9.996216), 'p2': ('black', 'DONE', 1, 8.527889000000004)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.802477999999999)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.436057)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 6.078952999999999)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.346284999999998)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 0.9511389999999996)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 5.774590999999999)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.202519999999998)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.899322000000003)}"
